pubblication_date,oggetto,cig,importoAggiudicazione,vendor_code,agency_name,sceltaContraente,agency_fiscal_code,vendor_name,importoSommeLiquidate,vendor_country
2011-1,LAVORI A MISURA DI MANUTENZIONE EDILE ED AFFINE DEGLI IMMOBILI ASL AL - ANNO 2011 - LOTTO C: ALESSANDRIA,0735851B71,0,,AZIENDA SANITARIA LOCALE AL,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,02190140067,,0,
2011-1,FORNITURA GAS METANO,2894794B91,0,,COMUNE DI BAGNOLO PIEMONTE,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,00486530041,,0,
2011-1,ADESIONE LOTTO 621,0740378340,0,,AZIENDA USL DI BOLOGNA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02406911202,,0,
2011-1,FORNITURA REAGENTI CHIMICI,0752845358,175000.00,01561570134,LARIO RETI HOLDING SPA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,03119540130,MANZINI GIOVANNI BATTISTA SAS,0,ITALY
2011-1,RACCOLTA TRASPORTO E SMALTIMENTO DEI RIFIUTI DEPOSITATI NELLE DISCARICHE ABUSIVE,07301960CD,0,,COMUNE DI GUIDONIA MONTECELIO,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,02777620580,,0,
2011-1,CONTRATTO PER L&apos;AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA SPECIALISTICA DI ODONTOIATRIA,0777965D03,0,,OSPEDALE S.GERARDO DI MONZA - AZIENDA OSPEDALIERA,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,03253030153,,0,
2011-1,LAVORI DIMESSA IN SICUREZZA DELLA SCUOLA MATERNA ED ELEMENTARE .REALIZZAZIONE DI STRUTTURE ORIZZONTALI  E COMPLETAMENTO DELLA PALESTRA CON SERVIZI ANNESSI,139823325F,0,,COMUNE DI SANTO STEFANO ROERO,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,81000550046,,0,
2011-1,MATERIALE CHIRURGICO,0812624688,0,,AZIENDA SANITARIA LOCALE NAPOLI 1 CENTRO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,06328131211,,0,
2011-1,FORNITURA DI MATERIALE PER NEUROSTIMOLAZIONE CORDALE SPINALE OCCORRENTE ALLA S.C. CHIRURGIA VASCOLARE AZIENDA OSPEDALIERA ORDINE MAURIZIANO DI TORINO,0775062165,0,,AZIENDA OSPEDALIERA ORDINE MAURIZIANO DI TORINO,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,09059340019,,0,
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,2877714CB4,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,FORNITURA DI  SACCHI IN MATER BI O SIMILARE PER CONTENITORI DA 120 E 240 LT,07876640E5,0,,AZIENDA MUNICIPALE AMBIENTE S.P.A. ROMA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,05445891004,,0,
2011-1,SOMMINISTRAZIONE LAVORO INTERINALE,0883191045,0,,ACEGAS-APS SPA,17-AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE N.381/91,00930530324,,0,
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,28675698CA,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,CONFERIMENTO RIFIUTI SOLIDI URBANI DIFFERENZIATI,11930464B3,0,,COMUNE DI CARCARE,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,00224110098,,0,
2011-1,STRADA STATALE 80 DEL GRAN SASSO D&apos;ITALIA. LAVORI DI COSTRUZIONE DI UNA VARIANTE FRA TERAMO E GIULIANOVA. LOTTO &quot;0&quot;. VARIANTE ALLA SS80 DALLA PROGR.VA KM 72+300 ALLA LOCALITÀ CARTECCHIO. OPERE COMPLEMENTARI PER LA REALIZZAZIONE SVINCOLO &quot;TERAMO CENTRO&quot;,116236913E,218962.21,00915410674,COMUNE DI TERAMO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,00174750679,I.C.S. DI STANCHIERI QUINTINO SRL UNICO SOCIO,0,ITALY
2011-1,PROGETTAZIONE ESECUTIVA E REALIZZAZIONE TETTOIA PER LAVORAZIONE IMPERIALE CARROZZE - RIMOZIONE E RIPRISTINO LINEA TE - REALIZZAZIONE IMPIANTO ANTICADUTA - REALIZZAZION IMPIANTO ELETTRICO (ILLUMINAZIONE E FM) PRESSO OMR ROMA SMISTAMENTO,0720130E0F,349434.05,,TRENITALIA SPA,01-PROCEDURA APERTA,05403151003,,0,
2011-1,CONFERIMENTO IN DISCARICA,14492674F5,0,,COMUNE DI TRECCHINA,17-AFFIDAMENTO DIRETTO EX ART. 5 DELLA LEGGE N.381/91,84002110769,,0,
2011-1,ACQUISTO FARMACI ANNO 2011,270828102F,0,,AZIENDA OSPEDALIERA S. ANTONIO ABATE DI GALLARATE,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02411250125,,0,
2011-1,PROROGA CONTRATTO MANUTENZIONE E GESTIONE DEGLI IMPIANTI ELETTRICI DI DISTRIBIZIONE TRASFORMAZIONE DI MERGENZA RELATIVI LA RETE PRIMARIA DEGLI EDIFICI DEL POLICLINICO UMBERTO I E CLINICHE DISTACCATE,2281825D8B,0,,AZIENDA POLICLINICO UMBERTO I,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,05865511009,,0,
2011-1,FORNITURA PRESTAZIONI SANITARIE,2935071136,0,,AZIENDA UNITA SANITARIA LOCALE ROMA H,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,04737811002,,0,
2011-1,PULIZIA CASERME CARABINIERI,173486363B,0,,UFFICIO TERRITORIALE DEL GOVERNO - PREFETTURA DI FERRARA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,80010760389,,0,
2011-1,CONTRATTI DI SOMMINISTRAZIONE LAVORO,2725433A73,0,,COMUNE DI SCANO MONTIFERRO,22-PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA,80004390953,,0,
2011-1,"AFFIDAMENTO SERVIZIO DI FULL SERVICE DA ESPLETARSI A MEZZO DI APPARECCHIATURE PER FOTORIPRODUZIONE PER IL CENTRO STAMPA COMUNALE, OMNICOMPRENSIVO DI MANUTENZIONE, ASSISTENZA, PRONTO INTERVENTO E FORMAZIONE - SECONDO RINNOVO CON VARIAZIONI",0818392E6D,0,,COMUNE DI FORLI&apos;,01-PROCEDURA APERTA,00606620409,,0,
2011-1,ACQUISTO FARMACI ESCLUSIVI DITTA GILEAD,1263746C2D,0,,AZIENDA OSPEDALIERA OSPEDALE FATEBENEFRATELLI OFTALMICO,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,11809480152,,0,
2011-1,SERVIZIO DI TRASPORTO SCOLASTICO FINO AL 30 GIUGNO 2011,08272181E3,0,,COMUNE DI SAN FELICE CIRCEO,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,00118860592,,0,
2011-1,7,0754500916,84000.00,09699320017,AZIENDA SANITARIA LOCALE ASL TO 5,01-PROCEDURA APERTA,06827170017,BIOTRONIK ITALIA S.P.A.,0,ITALY
2011-1,"INTERVENTI A FAVORE DELLA SICUREZZA STRADALE: VIA PADANA INFERIORE EST, INGRESSO ZONA INDUSTRIALE, INNESTI-SVINCOLI S.R. 10 SU VIA PAINA",0856160D91,447814.04,,COMUNE DI LEGNAGO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,00597030238,,0,
2011-1,FONDAZIONE PIO ISTITUTO ADELINA NIGRA,2382168338,0,,AZIENDA SANITARIA LOCALE DELLA PROVINCIA DI PAVIA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,01748780184,,0,
2011-1,LOTTO 1 (CENTRO-NORD),0845202ABE,875965.00,02425460306,AGENZIA EROGAZIONI IN AGRICOLTURA,01-PROCEDURA APERTA,97181460581,QUALITY FOOD GROUP S.P.A. UNIPERSONALE,0,ITALY
2011-1,LOTTO 1 - PROTESI VALVOLARE CARDIACA MECCANICA AORTICA,0817129C2B,192000.00,,AZIENDA OSPEDALIERA UNIVERSITARIA SAN GIOVANNI BATTISTA D...,01-PROCEDURA APERTA,05438190018,,0,
2011-1,FONDAZIONE PIO ISTITUTO ING. SASSI,238220950D,0,,AZIENDA SANITARIA LOCALE DELLA PROVINCIA DI PAVIA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,01748780184,,0,
2011-1,SERVIZIO DI COPERTURA ASSICURATIVA INCENDIO E FURTO,0758491691,50590.10,02705901201,AZIENDA OSPEDALIERA UNIVERSITARIA POLICLINICO PAOLO GIACC...,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,05841790826,UNIPOL ASSICURAZIONI SPA,0,ITALY
2011-1,ESPLETAMENTO DI TUTTI I SERVIZI RELATIVI ALLA CONCESSIONE DI MUTUI FINO AL 31/12/2011,0815716E1F,101000000.00,,COMUNE DI REGGIO EMILIA,01-PROCEDURA APERTA,00145920351,,0,
2011-1,AFFIDAMENTO ATTIVITÀ SOCIALMENTE UTILI,293988235F,0,,COMUNE DI FUCECCHIO,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,01252100480,,0,
2011-1,FORNITURA MATERIALE DI CONSUMO PER SISTEMA BIOPSIA MAMMARIA VABB HOLOGIC SUROS,07474363B2,63000.00,06202160013,REGIONE LIGURIA - UNITA&apos; SANITARIA LOCALE N. 1 IMPERIESE,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,01083060085,TECHNOLOGIC S.R.L.,0,ITALY
2011-1,FORNITURA DI DISPOSITIVI MEDICI E MATERIALE SANITARIO VARIO PER L&apos;ASL TARANTO PER IL PERIODO 01/01/11 - 30/06/11 DELI.N.1217/10. DITTA ABBOTT,2576998E02,0,,AZIENDA UNITA&apos; SANITARIA LOCALE ASL TA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,02026690731,,0,
2011-1,SERVIZIO PUBBLICO DI CONNETTIVITÀ,203309858A,774467.00,04952121004,ISTITUTO NAZIONALE PER IL COMMERCIO ESTERO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,80069170589,BT ITALIA SPA,0,ITALY
2011-1,AFFIDAMENTO DEL SERVIZIO ENERGIA PER GLI IMPIANTI DI PERTINENZA DEL COMUNE DI OSTIGLIA,0735660DD2,0,,COMUNE DI OSTIGLIA,01-PROCEDURA APERTA,00199290206,,0,
2011-1,SERVIZI DI GESTIONE E CUSTODIA DEGLI ARCHIVI DELL&apos;ENTE,0795940E73,89775.00,01661740678,PROVINCIA DI TERAMO,01-PROCEDURA APERTA,80001070673,I.S.P. S.R.L.,0,ITALY
2011-1,REALIZZAZIONE DI IMPIANTO FOTOVOLTAICO DI PROPRIETA? COMUNALE PER L?AUTOPRODUZIONE DI ENERGIA ELETTRICA (POTENZA 100 KW) POSTO IN LOCALITA? SAN BIAGIO  NEL COMUNE DI CROPALATI (CS).,0837026FB0,0,,COMUNE DI CROPALATI,01-PROCEDURA APERTA,87000090784,,0,
2011-1,FORNITURA ENERGIA ELETTRICA,4013906C01,0,,AZIENDA OSPEDALIERO UNIVERSITARIA II UNIVERSITA&apos; STUDI NA...,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,06908670638,,0,
2011-1,CONTRATTO ASSISTENZA MANUTENZIONE MICROFILMATURA HW-SW KODAK. PERIODO 01/01/2009 - 31/12/2011. DITTA BASSILICHI SPA.,288493647F,0,,AZIENDA OSPEDALIERA PISANA,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,01310860505,,0,
2011-1,FARNACO REVLIMID 10 MG CPS,0818903421,0,,AZIENDA SANITARIA LOCALE AVELLINO,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,02600160648,,0,
2011-1,ARREDO STANZE DEGENZA,0741650CED,0,,CENTRO RESIDENZIALE PER ANZIANI,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,81001430289,,0,
2011-1,MANUTENZIONE E RIPARAZIONE ATTREZZATURE TECNICO-SCIENTIFICHE SANITARIE,2792425DFE,287028.00,00856750153,AZIENDA SANITARIA REGIONALE DEL MOLISE,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,01546900703,PHILIPS S.P.A.,0,ITALY
2011-1,RETTE MINORI IN CENTRI EDUCATIVI - COOP. SOC. IL GERMOGLIO - ANNO 2011,2784593ED2,0,,ASP CENTRO SERVIZI ALLA PERSONA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,80006330387,,0,
2011-1,"SUPPORTO, AGGIORNAMENTO E ASSISTENZA SOFTWARE",0775324998,0,,AZIENDA TRASPORTI MILANESI S.P.A.,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,97230720159,,0,
2011-1,"RIFACIMENTO BAGNI PALESTRA E SISTEMAZIONE MARCIAPIEDI NEL CONVITTO DIACONO DI CIVIDALE DEL FRIULI NELL&apos;AMBITO DEGLI INTERVENTI DI RISTRUTTURAZIONE, COMPLETAMENTO, ADEGUAMENTO, MESSA A NORMA IMPIANTI SPORTIVI LR 17/08 ART. 7 - CODICE  11/09/10",0793739623,0,,AMMINISTRAZIONE PROVINCIALE DI UDINE,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,00400130308,,0,
2011-1,INCARICO INTERVENTI URGENTI DI MANUTENZIONE O SOSTITUZIONE DI APPARECCHIATURE DI AVVIAMENTO ELETTRONICI &quot;INVERTER&quot; PER POZZI ACQUEDOTTO  O PER IMPAINTI DI ACQUE LURIDE PRESSO I SITI IN GESTIONE AL SERVIZIO IDRICO INTEGRATO DELLA SOCIETA&apos; ACQUE NORD SRL,1561963CA1,0,,ACQUE NORD SRL,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02077340038,,0,
2011-1,"GARA OEM000039562 IMPERMEABILIZZAZIONE E MANUTENZIONE DELLE COPERTURE DEGLI UFFICI, MENSA E FORESTERIA C/O U.B. TV NORD",0832646137,64609.98,01293951008,ENEL SERVIZI SRL,"14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006",06377691008,S.I.CO.I. S.A.S.,0,ITALY
2011-1,SERVIZI DI AM,0711964B44,0,,SNAM RETE GAS S.P.A.,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,13271390158,,0,
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,28666366DB,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,FORNITURA DI SET PER VASCOLARE E RADIOLOGIA INTERVENTISTICA (SA.VIR),24441608A1,60000.00,99999999999,AZIENDA PROVINCIALE PER I SERVIZI SANITARI,25-AFFIDAMENTO DIRETTO A SOCIETA&apos; RAGGRUPPATE/CONSORZIATE O CONTROLLATE NELLE CONCESSIONI DI LL.PP,01429410226,NON  CLASSIFICATO,0,ITALY
2011-1,FARMACIE ESTERNE PRIVATE CONVENZIONATE,2869739788,0,,AZIENDA SANITARIA LOCALE BARI,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,06534340721,,0,
2011-1,FARMACEUTICA CONVENZIONATA ANNO 2011 FARMACIA COD. 198,2713808135,0,,A.S.L.PROVINCIA DI MANTOVA,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,01838560207,,0,
2011-1,SELLE E COPPELLE ISOLANTI,08585555FE,380000.00,01588120467,ENEL GREEN POWER S.P.A.,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI  GARA ART. 221 D.LGS. 163/2006,10236451000,ABI DI SANTANCH??,0,ITALY
2011-1,RDA 40005151 SF FORNITURA MATERIALE PER ESECUZIONE PRESE IN CARICO TELERISCALDAMENTO,0994242A71,40000.00,03111570176,A2A CALORE E SERVIZI SRL,"14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006",10421210153,WARMA SRL,0,ITALY
2011-1,FORNITURA PROD. CONSUMO VITRCTOMO-FACOEMULS. MILLENIUM BAUSCH &amp; LOMB,0892003827,0,,AZIENDA ULSS 18 ROVIGO,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,01013470297,,0,
2011-1,FORNITURA DI PRODOTTI FARMACEUTICI PER L&apos;ASL TARANTO PER IL PERIODO 01/01/11 - 30/06/11 DELI.N.1217/10. DITTA RIEMSER ARZNEIMITTEL,187787142B,0,,AZIENDA UNITA&apos; SANITARIA LOCALE ASL TA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,02026690731,,0,
2011-1,ACQUISTO DI VALVOLE PERCUTANEE,080940889A,800000.00,09238800156,AZIENDA USL TERAMO,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,00115590671,MEDTRONIC ITALIA SPA,0,ITALY
2011-1,SERVIZIO DI SMALTIMENTO RIFIUTI CODICE CER 191210,3073754E07,0,,ECOGEST SRL,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,01174480291,,0,
2011-1,STAMPATI,0777326DB1,0,,AZIENDA SANITARIA PROVINCIALE DI VIBO VALENTIA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,02866420793,,0,
2011-1,RDO 2011GN0002 MATERIALE DESTINATO ALL&apos;IMPIANTO DI ILLUMINAZIONE DEL PALAZZO DELL&apos;ARENGARIO DI MILANO,082028154A,39292.00,12067200159,A2A RETI ELETTRICHE SPA,"14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006",12883430154,FORMA ILLUMINAZIONE TECNICA SRL,0,ITALY
2011-1,SERVIZIO MANUTENZIONE E CONTABILITÀ R.O.T. DEL S.O. SS.ANNUNZIATA E S.G. MOSCATI - DE.TRA.SUD.,4602836C6A,0,,AZIENDA UNITA&apos; SANITARIA LOCALE ASL TA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,02026690731,,0,
2011-1,FORNITURA AUTOCABINATI IVECO A METANO,099217725C,89200.00,99999999999,TRENTINO SERVIZI S.P.A.,25-AFFIDAMENTO DIRETTO A SOCIETA&apos; RAGGRUPPATE/CONSORZIATE O CONTROLLATE NELLE CONCESSIONI DI LL.PP,01614640223,NON  CLASSIFICATO,0,ITALY
2011-1,FORNITURA FOB PORTO DI PIOMBINO DI CALCARE IN PEZZATURA DA DESTINARE ALLA CENTRALE TERMOELETTRICA DI TORREVALDALIGA NORD.,0890223B3F,2015000.00,,ENEL SERVIZI SRL,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE DEL BANDO,06377691008,,0,
2011-1,PROCEDUA NEGOZIATA MEDIANTE COTTIMO FIDUCIARIO PER LA FORNITURA DI UN MICROSCOPIO A SCANSIONE LASER VIVASCOPE,0796522EBB,0,,FONDAZIONE SENATORE PASCALE-ISTITUTO PER LO STUDIO E LA C...,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,00911350635,,0,
2011-1,ECONOMIA - EUROMED,0799018A80,0,,AZIENDA OSPEDALIERA BOLOGNINI DI SERIATE,23-AFFIDAMENTO IN ECONOMIA - AFFIDAMENTO DIRETTO,02585160167,,0,
2011-1,SERVIZIO TRASMISSIVO DI TRASPORTO DELLA RETE UNITARIA DELLA P.A. PER IL MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,3445370942,180726.00,05815611008,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,97532760580,TELECOM ITALIA DIGITAL SOLUTIONS SPA,0,ITALY
2011-1,SERVIZIO BIENNALE PER ATTIVITA&apos; VARIE DI NATURA ELETTROMECCANICA C.LE MONTALTO DI CASTRO (VT),0769557286,278420.85,,ENEL SERVIZI SRL,"14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006",06377691008,,0,
2011-1,FORNITURA APPARECCHIATURE PER ADEGUAMENTO SOTTOSTAZIONI,0756869C0B,0,,CIRCUMVESUVIANA SRL,"14-PROCEDURA SELETTIVA EX ART 238 C.7, D.LGS. 163/2006",07608220633,,0,
2011-1,"AFFIDAMENTO DEL SERVIZIO DI PROGETTAZIONE ESECUTIVA E DI DIREZIONE DELL?ESECUZIONE, COMPRESO IL COORDINAMENTO DELLA SICUREZZA, E DELL?ANALISI ECONOMICA E FUNZIONALE DEL SISTEMA, RELATIVAMENTE ALLA FORNITURA ED INSTALLAZIONE DELLE APPARECCHIATURE ELETTROMECCANICHE DELLE STAZIONI DI TRASFERIMENTO DI RIFIUTI URBANI UBICATE NEI COMUNI DI LA THUILE E VILLENEUVE",06350847E3,80325.00,,REGIONE AUTONOMA VALLE D&apos; AOSTA,01-PROCEDURA APERTA,80002270074,,0,
2011-1,REDAZIONE ELABORATI TECNICI CON SISTEMI CAD E SVOLGIMENTO DI ATTIVITA&apos; COLLATERALI A SUPPORTO DELLA PROGETTAZIONE DELL&apos;UFFICIO TECNICO DI PROMOTUR SPA.,07967456C4,0,,PROMOTUR SPA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,00690090329,,0,
2011-1,AFFIDAMENTO SERVIZIO ELABORAZIONE CEDOLINI PAGA &quot;PAGA IN SERVICE&quot;,16111001C7,0,,AZIENDA PUBBLICA DEI SERVIZI ALLA PERSONA DEI COMUNI MODE...,22-PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE LA GARA,03198590360,,0,
2011-1,"SERVIZIO DI MANUTENZIONE, PULIZIA E CONSERVAZIONE DELLE AREE A VERDE PUBBLICO PER L?ANNO 2011",163842249A,0,,COMUNE DI PONTASSIEVE,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,01011320486,,0,
2011-1,SERVIZIO SOSTITUTIVO MENSA AZIENDALE - BUONI PASTO CARTACEI A VALORE NOMINALE NON NOMINATIVI,07904804BA,40000.00,99999999999,COMUNE DI MELZO,999-NON CLASSIFICATO,00795710151,NON  CLASSIFICATO,0,ITALY
